class,x1,x2
1,-8.842450748,-3.607290801
3,-6.324505196,-3.00899595
3,-7.062944191,-3.487597336
0,-2.620823505,2.948165408
1,-8.280623771,-4.75762554
2,-7.363120833,-7.759154653
3,-4.130809859,-3.580176465
1,-8.832377063,-3.756703252
3,-7.197573409,-3.31410678
3,-7.268776893,-4.418493281
1,-10.00061795,-4.01397885
3,-6.347415862,-1.932456316
0,-2.966093979,4.482870349
2,-7.327963437,-9.253574501
0,-1.378894829,4.333377165
2,-6.592191867,-7.548781024
0,-2.610469157,3.702139537
2,-5.944520384,-7.292773657
3,-6.438745986,-4.499751431
3,-6.151958648,-4.771456589
3,-5.419208953,-1.133031861
0,-1.287889615,6.259499354
0,-1.509543627,4.870024191
2,-8.470139844,-7.411171525
1,-12.30575102,-3.62628014
3,-7.425215869,-3.712363718
0,-1.303842644,5.256076714
2,-7.526731689,-9.93154623
3,-5.57314134,-2.768684276
0,-2.150685044,4.540862985
3,-7.151046615,-2.558715774
2,-6.396318788,-8.440803731
3,-6.021407159,-2.745493053
1,-8.840750007,-4.126187919
1,-9.723885413,-4.12343211
2,-6.485794968,-7.308709665
1,-9.643110452,-4.165721833
1,-7.28576263,-5.05149718
1,-10.00944672,-4.663849222
3,-7.315989333,-4.087208114
1,-12.51263713,-3.138723532
0,-1.851395458,3.518860905
1,-11.38726274,-3.119065342
0,-0.900754246,5.291398683
0,-1.54822264,4.386967311
3,-6.034924273,-3.729722914
1,-9.947790016,-3.733871054
0,-0.998539618,6.198648078
2,-6.569744605,-8.849566622
0,0.531139823,2.510128946
0,-1.164348582,4.231786709
2,-5.551041435,-9.508499569
2,-7.030953385,-7.888308148
0,-1.338293991,3.681274943
0,-2.760179083,5.551213579
1,-8.233427445,-5.340826482
1,-9.961515041,-1.92335106
1,-10.41378805,-3.321691446
0,-2.034364593,3.656520252
2,-8.912069695,-8.338177469
1,-11.0680008,-4.067130112
0,-1.859120624,3.7518867
3,-6.051349311,-2.04321808
1,-11.27713866,-5.293557723
1,-9.139701052,-5.312145388
0,-0.985163801,3.684097963
1,-11.64586542,-5.316625104
3,-6.116476749,-3.076080687
1,-10.74523877,-4.540028987
3,-6.237203647,-3.537799648
1,-10.50738124,-3.529575117
1,-9.481160038,-4.210743544
1,-10.43597645,-3.974101809
0,-2.437418733,5.522330977
0,-2.255646241,5.26811297
2,-6.785480832,-8.038444293
0,-2.189679706,3.999249845
1,-10.75954719,-4.91288037
1,-9.034519407,-5.916423615
0,-1.343924959,2.384288653
1,-10.70836827,-2.822219947
0,-1.837192102,2.896033494
2,-7.876492194,-8.725208083
0,-2.138717005,4.756657028
1,-10.77360733,-4.958945769
3,-5.810473655,-3.493554054
3,-5.696770829,-3.373420612
1,-8.367082712,-3.780532463
0,-3.216501464,3.794047741
0,-0.673224718,4.62002377
3,-6.550398036,-2.75474189
3,-5.706865176,-2.664914107
3,-6.526160918,-3.481767792
1,-10.80225409,-4.599930763
0,-1.022976497,5.815743258
0,-1.349743147,5.457810637
3,-6.563216389,-3.418145425
3,-7.154841244,-3.7424479
0,-0.614565496,5.015004567
0,-3.602883312,4.758984233
2,-8.137214294,-9.660303695
2,-7.11026474,-10.60614797
1,-11.77230849,-4.265578209
3,-6.247140719,-2.157590748
0,-1.041574372,4.222313543
1,-10.35522672,-3.430693373
1,-8.859539734,-3.657908883
0,1.66151885,3.806264538
2,-6.690306072,-6.701892989
0,-0.328102793,4.119182005
2,-7.797689621,-8.66571073
2,-8.689241147,-8.996345435
2,-8.894101817,-7.918791383
0,-3.032677226,4.721649261
1,-9.679854625,-4.380015831
