class,x1,x2
0,-1.515388692,4.63456838
2,-5.99950076,-7.275829005
1,-10.65510843,-3.98447844
0,-3.988608081,5.274186499
1,-11.12425892,-4.491799488
2,-5.043482814,-5.127142534
0,-1.380242358,5.69391887
1,-10.87541542,-2.704820824
2,-6.918137438,-6.495225177
2,-6.134295062,-8.549322845
0,-2.182266616,5.2130475
1,-9.613633924,-5.026196759
0,-1.712611793,7.572397449
2,-7.02922848,-10.80406126
0,-0.815418261,4.767595507
2,-7.024818796,-9.435808514
0,-0.77450071,3.387414194
1,-9.801074204,-3.429723021
2,-6.39487064,-5.680106412
2,-6.588449333,-9.143972371
2,-5.921122479,-7.933483055
0,-2.349474152,5.373020368
0,-1.182328606,4.377642418
2,-6.398898335,-6.610226756
0,-1.627802163,5.049477978
2,-8.886076002,-6.933335914
0,-2.148651865,4.360122742
1,-11.63766837,-3.616672445
2,-7.202913833,-9.129061037
0,-3.049867815,4.132859259
2,-6.597069838,-8.978444448
2,-8.952056063,-7.837790852
1,-8.916683602,-6.271520003
1,-10.55792719,-5.935008408
1,-10.84052702,-3.471891922
1,-8.80681689,-3.042299318
0,-3.57869914,2.396176105
1,-8.975609638,-2.852330832
0,-2.822765558,7.25275608
1,-9.980079243,-2.141199356
0,-2.696463341,6.120335749
0,0.83014336,5.51955611
2,-7.211845659,-4.585868673
0,-0.405552827,6.721528535
0,-1.182538461,3.071082541
2,-9.592313357,-9.270707855
0,-0.436159366,3.983481015
0,-1.295555744,4.709235137
2,-8.302123575,-7.365951687
0,-0.180057124,4.726790721
0,-1.286361164,3.96152814
1,-9.900636445,-3.117850137
1,-10.23562266,-2.910389555
0,-0.862814216,4.412491132
0,-1.596239286,5.280712689
1,-10.93739732,-5.931132314
0,-0.640608189,6.547810296
1,-7.829544542,-7.884866001
0,-2.002708649,6.826531931
2,-4.300240426,-6.030876374
0,-3.531161087,6.599891843
0,-3.602446734,4.517970699
2,-7.519882763,-7.633505121
0,-1.85979291,7.386337535
0,-2.584679544,4.386533537
0,-2.457910937,6.083689964
2,-8.025635868,-8.339010382
2,-8.790512328,-9.088595493
1,-9.161413542,-4.617331662
1,-9.582022753,-3.727928087
1,-7.129609384,-4.148861446
2,-4.725863785,-6.007343556
1,-14.18487856,-0.945006184
0,-5.279814408,1.740140305
0,-2.868827224,4.480082407
1,-11.62856301,-2.25292836
0,-1.359920573,5.805571989
1,-8.92471233,-3.294657488
1,-10.76221561,-3.317688402
0,-1.419504302,5.720743251
0,-4.321453888,3.938145377
0,0.304998953,2.674015916
1,-10.24674231,-2.199958986
0,1.422376248,4.486604174
1,-11.44319738,-3.393457087
1,-9.48718006,-4.650390251
2,-4.200589146,-5.821193893
1,-13.80764561,-5.288290813
0,-1.551182057,5.921170871
0,-0.91674292,4.144435129
2,-5.931820682,-9.543716816
1,-9.898123454,-3.142445199
1,-8.524722017,-3.29550555
1,-9.391610346,-3.184697327
0,0.299749192,3.499585415
0,-1.412562307,5.573751137
2,-5.169843602,-7.765526284
2,-7.817066403,-8.331656809
0,-2.17541097,2.906236084
0,-2.495801989,5.815242985
1,-13.02524508,-1.794645444
2,-6.532123167,-7.365187793
0,-1.127656828,4.087929941
1,-9.429849138,-4.762895027
0,-3.967749775,3.734647092
0,-0.638091515,7.050403221
2,-8.082404284,-7.389810495
0,-0.210228612,5.495365148
1,-10.66892241,-3.670474179
0,-1.594056416,4.067018505
2,-5.117024751,-10.997645
2,-7.225072638,-9.241033873
2,-8.339832486,-8.175713748
0,-2.058887665,4.455411689
1,-13.02095952,-3.407207177
1,-9.582004256,-2.1114855
2,-7.603413094,-11.88057122
0,-0.78258999,4.892901234
0,-3.0926978,5.285355515
0,-0.724516641,3.754054844
1,-7.993357427,-1.466090166
0,0.309783211,4.44152541
2,-8.883054656,-8.751358054
0,-0.532554053,4.617083024
2,-6.923259073,-10.33826355
1,-9.684194084,-6.599960668
1,-11.74553951,-4.591477085
2,-6.911788562,-6.37677253
0,-1.195583203,8.782453013
0,-1.713981839,3.157896847
0,-0.805873012,4.702463856
1,-9.749639654,-2.086659954
1,-9.557354373,-4.495454338
0,-2.906320011,3.560510181
0,-3.458461954,5.701507845
2,-7.700806811,-6.958431907
1,-10.68587497,-2.869114522
0,-0.633557914,3.876374895
1,-8.269702649,-3.689456709
0,0.324481072,4.697752393
1,-10.34661683,-2.748943547
0,-0.109383701,4.187079957
2,-6.172098287,-7.743227417
0,-0.330821207,4.691282343
2,-6.90859722,-7.083912155
1,-10.98837729,-5.178615186
1,-9.495339788,-1.399703477
0,-0.620698385,3.688481334
2,-9.332704891,-7.832574898
1,-10.23806968,-2.869928362
0,-1.044161288,5.696296327
2,-8.86564464,-7.27944727
1,-11.16417004,-2.776938797
2,-8.542305545,-5.608637324
2,-7.937316459,-9.887791493
1,-13.23865451,-3.343365073
2,-10.44149701,-3.812839277
1,-8.214196368,-7.430991264
2,-6.74270921,-5.780258382
1,-9.174219816,-6.812697816
1,-8.294703661,-5.862512004
0,-3.082219391,3.771272423
1,-9.777914395,-3.575558992
1,-11.96369435,-4.70440091
